0.0	-76.369839607972
111	-76.369550039236
222	-76.341944272432
333	-76.350493354157
444	-76.369711734789
555	-76.357600277981
666	-76.361888712402
777	-76.369711734789
888	-76.351604058234
999	-76.361888712403
-1-1-1	-76.369550039236
-2-2-2	-76.341944272432
-3-3-3	-76.353256945778
-4-4-4	-76.369711734789
-5-5-5	-76.351604058233
-6-6-6	-76.360709672022
-7-7-7	-76.369711734789
-8-8-8	-76.357600277981
-9-9-9	-76.360709672022
112	-76.366840116311
113	-76.368449621095
114	-76.369810315724
115	-76.367972223428
116	-76.368531050316
117	-76.369810315724
118	-76.368363597152
119	-76.368531050316
122	-76.357643988486
133	-76.361738230165
144	-76.36983549913
155	-76.363900063889
166	-76.366030486594
177	-76.36983549913
188	-76.362445640967
199	-76.366030486594
223	-76.351894000489
224	-76.357792954316
225	-76.362736585638
226	-76.362418979305
227	-76.357369345759
228	-76.361266580362
229	-76.353501716042
233	-76.356288287322
244	-76.367209586694
255	-76.366475774162
266	-76.367524773562
277	-76.366410454221
288	-76.365943529173
299	-76.359906187989
334	-76.36148727744
335	-76.363585320105
336	-76.364582983924
337	-76.36148727744
338	-76.353813441946
339	-76.364582983924
344	-76.368040350049
355	-76.364666743905
366	-76.368000378147
377	-76.368040350049
388	-76.3539957857
399	-76.368000378147
445	-76.367920806268
446	-76.368602070596
447	-76.369810315724
448	-76.368026735212
449	-76.36887478027
455	-76.363861757629
466	-76.366049963889
477	-76.369810315724
488	-76.362220103879
499	-76.366173327726
556	-76.360491567016
557	-76.364007826506
558	-76.362736585638
559	-76.363566319962
566	-76.361905367283
577	-76.368256682953
588	-76.361266580365
599	-76.365104008618
667	-76.366173327726
668	-76.363866055282
669	-76.365040318442
677	-76.36887478027
688	-76.360713490999
699	-76.365040318443
778	-76.36848997884
779	-76.368602070596
788	-76.362497624607
799	-76.366049963889
889	-76.366556648119
899	-76.368286352469
11-2	-76.366840116311
11-3	-76.367191290188
11-4	-76.369670838902
11-5	-76.368363597152
11-6	-76.369167865247
11-7	-76.369670838902
11-8	-76.367972223428
11-9	-76.369167865247
-122	-76.357643988487
-133	-76.361738230165
-144	-76.369706915798
-155	-76.363900063889
-166	-76.366030486594
-177	-76.369706915798
-188	-76.362445640967
-199	-76.366030486594
22-3	-76.358310569978
22-4	-76.357792954315
22-5	-76.347620414924
22-6	-76.349161111362
22-7	-76.357369345759
22-8	-76.351550005631
22-9	-76.360360933697
-233	-76.356288287322
-244	-76.366410454221
-255	-76.356530519806
-266	-76.359906187989
-277	-76.367209586694
-288	-76.351036274217
-299	-76.367524773562
33-4	-76.36148727744
33-5	-76.353813441946
33-6	-76.355960098107
33-7	-76.361487277441
33-8	-76.363585320105
33-9	-76.355960098107
-344	-76.367569654612
-355	-76.359962527059
-366	-76.360684687721
-377	-76.367569654612
-388	-76.364948756907
-399	-76.360684687721
44-5	-76.36848997884
